alpha,mode,niter,c1,dc1,rep,final_error,last_iter,n_rows,complete,finite,self_check,d90,z_centroid,z_entrance,z_exit,z_source,dir
70,lab,50,-120.0,-60.0,1,89.522171,50,20,True,True,,13.800705601243298,13.46918654600382,1.9660714285714285,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-120_n50_NL14
70,lab,50,-110.0,-50.0,1,87.76207,50,20,True,True,,12.130410689569395,13.521486214092794,1.9660714285714285,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-110_n50_NL14
70,lab,50,-100.0,-40.0,1,85.703339,50,20,True,True,,10.400265047704682,13.764268565978847,1.9660714285714285,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-100_n50_NL14
70,lab,50,-90.0,-30.0,1,82.182381,50,20,True,True,,8.6978187142296,12.556167070293496,1.9660714285714285,7.921136358854525,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-90_n50_NL14
70,lab,50,-80.0,-20.0,1,64.796921,50,20,True,True,,7.030821543819285,10.118186950005919,1.9660714285714285,4.3897483493314295,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-80_n50_NL14
70,lab,50,-70.0,-10.0,1,35.888466,50,20,True,True,,5.18896544040456,8.650831715005113,1.9660714285714285,4.542714729214918,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-70_n50_NL14
70,lab,50,-70.0,-10.0,2,35.915936,50,20,True,True,,5.18896544040456,8.621515433470057,1.9660714285714285,4.54582601216925,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-70_r2_n50_NL14
70,lab,50,-68.0,-8.0,1,31.305622,50,20,True,True,,4.9202292754904065,8.965120954929482,1.9660714285714285,4.591753331648765,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-68_n50_NL14
70,lab,50,-66.0,-6.0,1,27.484795,50,20,True,True,,4.6588245046987815,9.5485399824857,1.9660714285714285,4.742540624512933,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-66_n50_NL14
70,lab,50,-64.0,-4.0,1,24.71596,50,20,True,True,,4.390669579579732,11.072172744037852,1.9660714285714285,18.847950828627187,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-64_n50_NL14
70,lab,50,-62.0,-2.0,1,24.40147,50,20,True,True,,4.130860540979436,12.758557300934916,2.3837906279637475,22.086974658063532,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-62_n50_NL14
70,lab,50,-60.0,0.0,1,25.725592,50,20,True,True,PASS,3.8635970558885906,14.398895006449946,4.865746835602881,24.011311956514884,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-60_n50_NL14
70,lab,50,-60.0,0.0,2,25.35635,50,20,True,True,PASS,3.8635970558885906,14.38972203990945,4.820133514973474,24.021788768275925,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-60_r2_n50_NL14
70,lab,50,-60.0,0.0,3,27.140615,50,20,True,True,PASS,3.8635970558885906,13.87019074565387,2.9502144987494012,24.017312196485534,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-60_r3_n50_NL14
70,lab,50,-58.0,2.0,1,54.25124,50,20,True,True,,3.606029876752286,13.510459111398186,2.4954770954378023,25.7129894197927,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-58_n50_NL14
70,lab,50,-56.0,4.0,1,142.11435,50,20,True,True,,3.344528167626002,12.541368416601884,2.143957499469658,20.139850051923727,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-56_n50_NL14
70,lab,50,-54.0,6.0,1,272.92923,50,20,True,True,,3.0874976515406307,14.551727240615003,2.147609372523142,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-54_n50_NL14
70,lab,50,-52.0,8.0,1,279.24677,50,20,True,True,,2.851452729336597,14.519360884698683,2.08127307624419,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-52_n50_NL14
70,lab,50,-50.0,10.0,1,281.61304,50,20,True,True,,2.5809392924663754,14.467675347323532,2.0135053806884944,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-50_n50_NL14
70,lab,50,-50.0,10.0,2,280.25745,50,20,True,True,,2.5809392924663754,14.423849379384105,2.0195802390080084,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-50_r2_n50_NL14
70,lab,50,-40.0,20.0,1,267.60126,50,20,True,True,,2.564027240194869,14.763059326288188,2.198515597438387,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-40_n50_NL14
70,lab,50,-30.0,30.0,1,268.79141,50,20,True,True,,3.3038106546195536,14.651114651384354,2.0214346366717235,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-30_n50_NL14
70,lab,50,-20.0,40.0,1,231.33641,50,20,True,True,,4.268977400755496,14.309697079772645,2.037753550268597,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-20_n50_NL14
70,lab,50,-10.0,50.0,1,84.968475,50,20,True,True,,5.313242088004804,15.334372190527656,2.349962794306407,26.541964285714286,h5,/Users/u2109287/Desktop/relax_0917/c1_results_a70_n50_20260917_180049/recon_c1_a70_lab_df-10_n50_NL14
