waves,cut,Pb,Ti,O,precision,z_rms_A,xy_rms_A,confusion
0 round,strict,98,82,75,0.98,0.555,0.044,1.3
0 round,relaxed,98,82,79,0.81,0.576,0.044,1.4
0.10,strict,80,57,48,0.93,0.759,0.094,12.4
0.10,relaxed,89,64,69,0.73,0.856,0.139,8.7
0.20,strict,56,28,17,0.89,0.82,0.158,28.4
0.20,relaxed,77,33,26,0.78,0.858,0.183,30.5
0.30,strict,52,21,16,0.89,0.907,0.163,40.3
0.30,relaxed,62,39,24,0.81,0.945,0.198,31.0
0.45,strict,31,33,11,0.92,0.856,0.223,31.9
0.45,relaxed,72,48,38,0.86,0.975,0.245,27.7
