alpha,mode,variant,niter,rep,c1_true,c1_start,dc1_start,status,nan_in_log,power_ratio,final_error,ov_start,ov_final,c1_final,dc1_final,engine_dc1,ov_best_c1,c1_fit_at_edge,slab_centroid,slab_z0,slab_z1,dir
70,lab,"C1-only 40+1, object frozen",200,1,-60.0,-72.0,-12.0,ok,False,3.5829774927688787,57.730946,0.21379249720549984,0.21472043743878574,-71.1882255580716,-11.188225558071593,0.8045,0.9964246738933361,False,9.011560424595515,1.9660714285714285,4.498580034043435,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a70_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a70_lab_df-72_ps40x1dfooinf_n200_NL14
70,lab,"C1-only 40+1, object frozen",200,1,-60.0,-66.0,-6.0,ok,False,2.9703260574848906,44.022022,0.30995474038294435,0.40153513732499285,-65.46702725144971,-5.467027251449707,0.5432,0.99786108887546,False,9.418673655752764,1.9660714285714285,4.600680561513746,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a70_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a70_lab_df-66_ps40x1dfooinf_n200_NL14
70,lab,"C1-only 40+1, object frozen",200,1,-60.0,-60.0,0.0,ok,False,0.46056834291201865,553.61322,0.999999999997542,0.22872654814532084,-52.084594089168036,7.915405910831964,7.9141,0.9998140228555717,False,14.726148260275227,1.9690245118543295,26.541964285714286,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a70_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a70_lab_df-60_ps40x1dfooinf_n200_NL14
70,lab,"C1-only 40+1, object frozen",200,1,-60.0,-54.0,6.0,ok,False,0.25173302804681913,513.22693,0.30995461111123185,0.08459148669562772,-32.901800694415385,27.098199305584615,21.106,0.9971531919549321,False,14.742650086933468,1.9706741380104882,26.541964285714286,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a70_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a70_lab_df-54_ps40x1dfooinf_n200_NL14
70,lab,"C1-only 40+1, object frozen",200,1,-60.0,-48.0,12.0,ok,False,0.6341817666415839,543.94037,0.21379243060411574,0.18320938687366248,-50.59984906873253,9.400150931267468,-2.5903,0.9989370137809734,False,14.750583819784854,1.9723648411036292,26.541964285714286,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a70_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a70_lab_df-48_ps40x1dfooinf_n200_NL14
70,lab,"C1-only 40+40, step <= 0.05 A",200,1,-60.0,-60.0,0.0,ok,False,0.9035322195512185,264.76788,0.9999999999975409,0.10843087413644491,-78.45307056497754,-18.453070564977537,-18.4643,0.9979459550735699,False,14.770291217953142,1.9720137964183495,26.541964285714286,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a70_n200_ps40x40dfoc0.05_20260921_225613/recon_c1dfo_a70_lab_df-60_ps40x40dfoc0.05_n200_NL14
70,lab,"C1-only 40+40, step <= 0.05 A",200,1,-60.0,-48.0,12.0,ok,False,0.8411696462336141,256.16843,0.21379243060411574,0.11700572415280165,-80.96165278241601,-20.96165278241601,-32.9544,0.9973635524147337,False,14.762939398898004,1.9712951336900235,26.541964285714286,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a70_n200_ps40x40dfoc0.05_20260921_225613/recon_c1dfo_a70_lab_df-48_ps40x40dfoc0.05_n200_NL14
90,lab,"C1-only 40+1, object frozen",200,1,,-192.0,,NO H5 (crashed?),True,,,,,,,,,,,,,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a90_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a90_lab_df-192_ps40x1dfooinf_n200_NL23
90,lab,"C1-only 40+1, object frozen",200,1,-160.0,-176.0,-16.0,ok,False,3.3592090535873558,70.579124,0.07543881708848348,0.06766890134029592,-175.07304458636182,-15.073044586361817,0.9248,0.9994930551064021,False,11.521901666262869,1.1967391304347825,2.67766116670233,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a90_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a90_lab_df-176_ps40x1dfooinf_n200_NL23
90,lab,"C1-only 40+1, object frozen",200,1,-160.0,-160.0,0.0,ok,False,2.6680541787101353,27.747217,0.999999999950257,0.9970475872331256,-159.79471372394636,0.20528627605364136,0.2063,0.9970475872331256,False,14.239417142886214,4.19185870138165,23.65572166791419,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a90_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a90_lab_df-160_ps40x1dfooinf_n200_NL23
90,lab,"C1-only 40+1, object frozen",200,1,-160.0,-144.0,16.0,ok,False,2.9316069213807783,59.729515,0.07544011091660656,0.06291766432733327,-144.48908778732752,15.51091221267248,-0.4864,0.9995750670544363,False,18.726329658571178,26.061248790478764,26.926630434782606,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a90_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a90_lab_df-144_ps40x1dfooinf_n200_NL23
90,lab,"C1-only 40+1, object frozen",200,1,-160.0,-128.0,32.0,ok,False,3.3423679487207463,137.47856,0.047157811120465826,0.048264461153526624,-128.1705385530045,31.82946144699551,-0.1721,0.9967715942112241,False,16.53254826621673,14.588351831491112,26.926630434782606,/Users/u2109287/Desktop/relax_0922/c1dfo_results_a90_n200_ps40x1dfooinf_20260921_225613/recon_c1dfo_a90_lab_df-128_ps40x1dfooinf_n200_NL23
